"","Gene","logFC","FDR","fdr","logfc","labels","sig"
"21927","LOC107985959",0.38846455,0.657811902,0.657811902,0.38846455,"LOC107985959","Not Sig"
"21928","LOC105376034",0.747638179,0.657811902,0.657811902,0.747638179,"LOC105376034","Not Sig"
"21929","BDP1_2",0.283169892,0.657871787,0.657871787,0.283169892,"BDP1_2","Not Sig"
"21930","EYA4",0.418408406,0.658314619,0.658314619,0.418408406,"EYA4","Not Sig"
"21931","ARL13A",-0.576245411,0.658806193,0.658806193,-0.576245411,"ARL13A","Not Sig"
"21932","INTS3_1",0.702827636,0.658813737,0.658813737,0.702827636,"INTS3_1","Not Sig"
"21933","WNT6",-0.792184859,0.659142124,0.659142124,-0.792184859,"WNT6","Not Sig"
"21934","LBX2-AS1",0.515573158,0.659203373,0.659203373,0.515573158,"LBX2-AS1","Not Sig"
"21935","FAM66B",0.702438272,0.659288125,0.659288125,0.702438272,"FAM66B","Not Sig"
"21936","LOC101927636",0.802536985,0.659363995,0.659363995,0.802536985,"LOC101927636","Not Sig"
"21937","CRYBB2",-0.441458526,0.659574233,0.659574233,-0.441458526,"CRYBB2","Not Sig"
"21938","LOC105373184",-0.766438679,0.659598836,0.659598836,-0.766438679,"LOC105373184","Not Sig"
"21939","TXN2",-0.102489375,0.659598836,0.659598836,-0.102489375,"TXN2","Not Sig"
"21940","KIAA0319L",-0.076496012,0.659920786,0.659920786,-0.076496012,"KIAA0319L","Not Sig"
"21941","TFE3",-0.115899637,0.660722255,0.660722255,-0.115899637,"TFE3","Not Sig"
"21942","OSR1",-0.577460364,0.660885581,0.660885581,-0.577460364,"OSR1","Not Sig"
"21943","KANSL1_1",-0.270209869,0.661037702,0.661037702,-0.270209869,"KANSL1_1","Not Sig"
"21944","ZBED3",-0.073222827,0.661037702,0.661037702,-0.073222827,"ZBED3","Not Sig"
"21945","MKNK2",-0.139293193,0.661088329,0.661088329,-0.139293193,"MKNK2","Not Sig"
"21946","ERCC3",-0.034580065,0.661179836,0.661179836,-0.034580065,"ERCC3","Not Sig"
"21947","LOC101929547",0.440542314,0.661179836,0.661179836,0.440542314,"LOC101929547","Not Sig"
"21948","KISS1",-0.515292195,0.661194502,0.661194502,-0.515292195,"KISS1","Not Sig"
"21949","LOC107985405",-0.47584624,0.661194502,0.661194502,-0.47584624,"LOC107985405","Not Sig"
"21950","LOC105372064",0.266496468,0.661296205,0.661296205,0.266496468,"LOC105372064","Not Sig"
"21951","AFAP1-AS1",0.467580951,0.661663541,0.661663541,0.467580951,"AFAP1-AS1","Not Sig"
"21952","CHRNA7_3",0.772629538,0.661815687,0.661815687,0.772629538,"CHRNA7_3","Not Sig"
"21953","COX7A1",-0.634716363,0.661821255,0.661821255,-0.634716363,"COX7A1","Not Sig"
"21954","DIO1",-0.627352235,0.661821255,0.661821255,-0.627352235,"DIO1","Not Sig"
"21955","GFER",0.178293929,0.661821255,0.661821255,0.178293929,"GFER","Not Sig"
"21956","LINC01354",-0.768935023,0.66212399,0.66212399,-0.768935023,"LINC01354","Not Sig"
"21957","ARHGAP17_1",-0.665527193,0.662612931,0.662612931,-0.665527193,"ARHGAP17_1","Not Sig"
"21958","SLC2A13",-0.183228255,0.66279813,0.66279813,-0.183228255,"SLC2A13","Not Sig"
"21959","ARMCX2",0.033786898,0.662812631,0.662812631,0.033786898,"ARMCX2","Not Sig"
"21960","SOX18",-0.581244958,0.662814584,0.662814584,-0.581244958,"SOX18","Not Sig"
